id,title,content,category,author,source,src_url,image_url,l10n,created_at,updated_at,is_censored
1,家庭大小事，歡迎投稿,"<p>從網頁上的「<a href=""https://bold-squirrel-vertically.ngrok-free.app/feedback"">家事投稿<a>」報告您的見聞。<br>
一旦通過審核後，將會分享在網站首頁。</p>
",News,高嘉祥,高嘉祥,https://bold-squirrel-vertically.ngrok-free.app/feedback,"https://github.com/mkaoy2k/Images/blob/main/subs_feedback_TW.png?raw=true
",繁中,2025-06-25 14:25:47,2025-06-25 22:55:52,1
2,"Your Family matters matter!
","<p>Please feedback your family matters <a href=""https://bold-squirrel-vertically.ngrok-free.app/feedback"">here<a>.<br>
Upon review, it will be shared on the homepage.</p>
",News,Michael Kao,Michael Kao,https://bold-squirrel-vertically.ngrok-free.app/feedback,,US,2025-06-25 14:41:00,2025-06-25 14:43:41,1
3,滿一足歲,"<p>謝欣慈與高銘亨之長女高玉杉（第41代）八月五日即將迎接她的第一個生日。<br>
祝玉杉生日快樂！</p>
",News,高嘉祥,高嘉祥,,https://github.com/mkaoy2k/Images/blob/main/Poppy_10mon.JPEG?raw=true,繁中,2025-06-25 14:53:29,2025-06-25 22:55:52,1
4,The First Ever Birthday!,"<p>Penelope, the 41st generation and first daughter of Pam and Henry Kao, will be one year old on August 5, 2025.<br>
Happy Birthday to Penelope!</p>",News,Michael Kao,Michael Kao,,https://github.com/mkaoy2k/Images/blob/main/Poppy_10mon.JPEG?raw=true,US,2025-06-25 14:55:07,2025-06-25 22:55:52,1
5,幸福,"<p>一個人問佛陀：我想要幸福。<br>
佛陀說：首先去掉""我""，也就是自我。<br>
然後去掉""想要""，也就是慾望。<br>
如果你不自私，也不貪婪，你就不會太在意個人利益。<br>
現在，讓我們看看你還剩下什麼：<br>
只有""幸福""！</p>
",Story,"軼名
",網路,,https://github.com/mkaoy2k/Images/blob/main/Buddha.jpeg?raw=true,繁中,2025-06-25 14:59:16,2025-06-25 22:55:52,1
6,Happiness,"<p>A man asked Buddha: I want happiness.<br>
Buddha said: First, please remove ""I"", that's ego. <br>
Then, please remove ""want"", that's desire.<br>
If you aren't selfish and aren't greedy, either, you won't worry too much about your personal interests. <br>
Then let's see now what you are left with: <br>
""HAPPINESS!</p>
",Story,Anonymous,Internet,,https://github.com/mkaoy2k/Images/blob/main/Buddha.jpeg?raw=true,US,2025-06-25 15:07:48,2025-06-25 22:55:52,1
7,免費電子書,"<p>Python 程式語言入門電子書，免費相送，<br>
適合想學習 Python 的朋友！<br>
<a href=""https://github.com/mkaoy2k/Kids-Lets-Play-Python"" target=""_blank"" rel=""noopener noreferrer""
>下載電子書</a></p>
",Events,高嘉祥,高嘉祥,https://github.com/mkaoy2k/Kids-Lets-Play-Python,https://github.com/mkaoy2k/Images/blob/main/Python_QR_Code.png?raw=true,繁中,2025-06-25 15:12:06,2025-06-25 15:24:29,1
8,Free eBooks,"<p>Python eBooks are available for people, like kids, who want to learn Python.<br>
<a href=""https://github.com/mkaoy2k/Kids-Lets-Play-Python"" target=""_blank"" rel=""noopener noreferrer""
>Download eBook</a></p>",Events,Michael Kao,Michael Kao,https://github.com/mkaoy2k/Kids-Lets-Play-Python,https://github.com/mkaoy2k/Images/blob/main/Python_QR_Code.png?raw=true,US,2025-06-25 15:15:21,2025-06-25 15:22:58,1
9,族譜個別家庭版服務 2.5 版正式開跑,"<p>族譜服務平台上<a href=""https://github.com/mkaoy2k/ftpe"" target=""_blank"" rel=""noopener noreferrer"">族譜個別家庭版服務</a><b>完全免費</b>使用，也是開源的。您可以在 <a href=""https://github.com/mkaoy2k/ftpe"" target=""_blank"" rel=""noopener noreferrer"">GitHub 下載應用程式碼</a>，並在您的電腦上獨立運行。<br>
若您支持此服務平台並值得推廣，歡迎大家告訴大家，也歡迎隨力贊助。</p>
",Events,高嘉祥,高嘉祥,https://github.com/mkaoy2k/ftpe,,繁中,2025-06-25 15:22:58,2025-06-25 15:24:34,1
10,原創者是誰？,"<p>發想原創者：<a href=""mailto:mkaoy2k@gmail.com"" target=""_blank"" rel=""noopener noreferrer"">高嘉祥</a></p>
",faq,https://github.com/mkaoy2k/Images/blob/main/mkao2008_avatar.jpg?raw=true,,,,繁中,2025-06-25 15:31:18,2025-06-25 22:55:52,1
11,Who Created FamilyTrees?,"<p>Created by <a href=""mailto:mkaoy2k@gmail.com"" target=""_blank"" rel=""noopener noreferrer"">Michael Kao</a></p>
",faq,https://github.com/mkaoy2k/Images/blob/main/mkao2008_avatar.jpg?raw=true,,,,US,2025-06-25 15:32:32,2025-06-25 22:55:52,1
12,Free FamilyTrees Personal-Edition 2.5 Release Available,"<p>The <a href=""https://github.com/mkaoy2k/ftpe"" target=""_blank"" rel=""noopener noreferrer"">FamilyTrees Personal-Edition</a> is <b>100% FREE</b>. And open source which is available for <a href=""https://github.com/mkaoy2k/ftpe"" target=""_blank"" rel=""noopener noreferrer"">download at GitHub</a>.<br>
Feel free to share this service platform to your friends and families.</p>
",Events,Michael Kao,Michael Kao,https://github.com/mkaoy2k/ftpe,,US,2025-06-25 15:33:29,2025-06-25 15:34:49,1
13,如何贊助？,"<p>我的程式碼靠咖啡因驅動！☕ 贊助<a href=""https://www.buymeacoffee.com/jkbwvj5y4zl"" target=""_blank"" rel=""noopener noreferrer"">一杯咖啡</a>的錢，使令我能保持創新，繼續打造好用的軟體！</p>
",faq,https://github.com/mkaoy2k/Images/blob/main/mkao2010_avatar.jpg?raw=true,,,,繁中,2025-06-25 15:35:08,2025-06-25 22:55:52,1
14,How to Donate?,"<p>My code runs on caffeine! ☕ Donate the money for <a href=""https://www.buymeacoffee.com/jkbwvj5y4zl"" target=""_blank"" rel=""noopener noreferrer"">a cup of coffee</a> and make me keep innovating and creating useful software!</p>
",faq,https://github.com/mkaoy2k/Images/blob/main/mkao2010_avatar.jpg?raw=true,,,,US,2025-06-25 15:36:19,2025-06-25 22:55:52,1
15,如何收費？,"<p>族譜服務平台上<a href=""https://github.com/mkaoy2k/ftpe"" target=""_blank"" rel=""noopener noreferrer"">族譜個別家庭版服務</a><b>完全免費</b>使用，也是開源的。您可以在 <a href=""https://github.com/mkaoy2k/ftpe"" target=""_blank"" rel=""noopener noreferrer"">GitHub 下載應用程式碼</a>，並在您的電腦上獨立運行。<br>
若您支持此服務平台並值得推廣，歡迎大家告訴大家，也歡迎隨力贊助。</p>
",faq,https://github.com/mkaoy2k/Images/blob/main/mkao2014_avatar.jpg?raw=true,,,,繁中,2025-06-25 15:39:10,2025-06-25 22:55:52,1
16,Any Cost using FamilyTrees?,"<p>The <a href=""https://github.com/mkaoy2k/ftpe"" target=""_blank"" rel=""noopener noreferrer"">FamilyTrees Personal-Edition</a> is <b>100% FREE</b>. And open source which is available for <a href=""https://github.com/mkaoy2k/ftpe"" target=""_blank"" rel=""noopener noreferrer"">download at GitHub</a>.<br>
Feel free to share this service platform to your friends and families.</p>
",faq,https://github.com/mkaoy2k/Images/blob/main/mkao2014_avatar.jpg?raw=true,,,,US,2025-06-25 15:39:37,2025-06-25 22:55:52,1
